"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value Type","Denominator","Numerator","Lower C.I.","Upper C.I.","Note"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Any Other Ethnic Group","ONS 18+1","England","88.7","%","6445.1","5714.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Any Other Ethnic Group","ONS 18+1","England","88.5","%","6653.3","5889.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Any Other Ethnic Group","ONS 18+1","England","87.2","%","5491.9","4791","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Unknown","ONS 18+1","England","76.3","%","2897.6","2211.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Unknown","ONS 18+1","England","91.2","%","4790.9","4368.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Unknown","ONS 18+1","England","92.4","%","2933.8","2709.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Unknown","ONS 18+1","England","92","%","3394.7","3123.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Unknown","ONS 18+1","England","93.2","%","4052.8","3776.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Unknown","ONS 18+1","England","91.6","%","2497.7","2288.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Unknown","ONS 18+1","England","92.7","%","2214.6","2052.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Unknown","ONS 18+1","England","92.3","%","1980.2","1828.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Unknown","ONS 18+1","England","93","%","2521.9","2346","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Unknown","ONS 18+1","England","91.7","%","3339.7","3061.2","NA","NA","No figures to report for upper and lower bounds"
